"Chromosome"	"Start"	"End"	"Strand"	"Feature"	"Illumina"	"Missing"	"Length"	"Miss %"	"Locus Tag"	"Product"
"CP040691"	331896	334703	"-"	"gene"	"Missing"	653	2808	23.3	"FF955_01495"	
"CP040691"	331896	334703	"-"	"mRNA"	"Missing"	653	2808	23.3	"FF955_01495"	
"CP040691"	331896	334703	"-"	"CDS"	"Missing"	653	2808	23.3	"FF955_01495"	"PE family protein"
"CP040691"	331896	334703	"-"	"exon"	"Missing"	653	2808	23.3		
"CP040691"	334967	337675	"-"	"gene"	"Missing"	456	2709	16.8	"FF955_01500"	
"CP040691"	334967	337675	"-"	"mRNA"	"Missing"	456	2709	16.8	"FF955_01500"	
"CP040691"	334967	337675	"-"	"CDS"	"Missing"	456	2709	16.8	"FF955_01500"	"PE family protein"
"CP040691"	334967	337675	"-"	"exon"	"Missing"	456	2709	16.8		
"CP040691"	621287	623155	"+"	"gene"	"Missing"	580	1869	31	"FF955_02830"	
"CP040691"	621287	623155	"+"	"mRNA"	"Missing"	580	1869	31	"FF955_02830"	
"CP040691"	621287	623155	"+"	"CDS"	"Missing"	580	1869	31	"FF955_02830"	"PE family protein"
"CP040691"	621287	623155	"+"	"exon"	"Missing"	580	1869	31		
"CP040691"	670574	674488	"-"	"gene"	"Missing"	194	3915	5	"FF955_03075"	
"CP040691"	670574	674488	"-"	"mRNA"	"Missing"	194	3915	5	"FF955_03075"	
"CP040691"	670574	674488	"-"	"CDS"	"Missing"	194	3915	5	"FF955_03075"	"PE family protein"
"CP040691"	670574	674488	"-"	"exon"	"Missing"	194	3915	5		
"CP040691"	834917	837271	"+"	"gene"	"Missing"	911	2355	38.7	"FF955_04030"	
"CP040691"	834917	837271	"+"	"mRNA"	"Missing"	911	2355	38.7	"FF955_04030"	
"CP040691"	834917	837271	"+"	"CDS"	"Missing"	911	2355	38.7	"FF955_04030"	"PE family protein"
"CP040691"	834917	837271	"+"	"exon"	"Missing"	911	2355	38.7		
"CP040691"	837670	839943	"+"	"gene"	"Missing"	161	2274	7.1	"FF955_04040"	
"CP040691"	837670	839943	"+"	"mRNA"	"Missing"	161	2274	7.1	"FF955_04040"	
"CP040691"	837670	839943	"+"	"CDS"	"Missing"	161	2274	7.1	"FF955_04040"	"PE family protein"
"CP040691"	837670	839943	"+"	"exon"	"Missing"	161	2274	7.1		
"CP040691"	916723	916818	"-"	"pseudogenic_exon"	"Missing"	30	96	31.2	"FF955_04440"	"YbjN domain-containing protein"
"CP040691"	916723	916818	"-"	"pseudogene"	"Missing"	30	96	31.2	"FF955_04440"	
"CP040691"	924445	926403	"+"	"gene"	"Missing"	762	1959	38.9	"FF955_04510"	
"CP040691"	924445	926403	"+"	"mRNA"	"Missing"	762	1959	38.9	"FF955_04510"	
"CP040691"	924445	926403	"+"	"CDS"	"Missing"	762	1959	38.9	"FF955_04510"	"PE family protein"
"CP040691"	924445	926403	"+"	"exon"	"Missing"	762	1959	38.9		
"CP040691"	958968	959071	"-"	"pseudogenic_exon"	"Missing"	45	104	43.3	"FF955_04685"	"DUF3000 domain-containing protein"
"CP040691"	958968	959071	"-"	"pseudogene"	"Missing"	45	104	43.3	"FF955_04685"	
"CP040691"	1093895	1095268	"-"	"gene"	"Missing"	248	1374	18	"FF955_05335"	
"CP040691"	1093895	1095268	"-"	"mRNA"	"Missing"	248	1374	18	"FF955_05335"	
"CP040691"	1093895	1095268	"-"	"CDS"	"Missing"	248	1374	18	"FF955_05335"	"PE domain-containing protein"
"CP040691"	1093895	1095268	"-"	"exon"	"Missing"	248	1374	18		
"CP040691"	1215439	1218000	"+"	"gene"	"Missing"	139	2562	5.4	"FF955_05985"	
"CP040691"	1215439	1218000	"+"	"mRNA"	"Missing"	139	2562	5.4	"FF955_05985"	
"CP040691"	1215439	1218000	"+"	"CDS"	"Missing"	139	2562	5.4	"FF955_05985"	"PE family protein"
"CP040691"	1215439	1218000	"+"	"exon"	"Missing"	139	2562	5.4		
"CP040691"	1340988	1341284	"+"	"gene"	"Missing"	297	297	100	"FF955_06560"	
