"Chromosome"	"Start"	"End"	"Strand"	"Feature"	"Illumina"	"Missing"	"Length"	"Miss %"	"Locus Tag"	"Product"
"CP040688"	28563	28982	"-"	"gene"	"Missing"	297	420	70.7	"FF951_00140"	
"CP040688"	28563	28982	"-"	"mRNA"	"Missing"	297	420	70.7	"FF951_00140"	
"CP040688"	28563	28982	"-"	"CDS"	"Missing"	297	420	70.7	"FF951_00140"	"WhiB family transcriptional regulator"
"CP040688"	28563	28982	"-"	"exon"	"Missing"	297	420	70.7		
"CP040688"	29135	29905	"+"	"gene"	"Missing"	356	771	46.2	"FF951_00145"	
"CP040688"	29135	29905	"+"	"mRNA"	"Missing"	356	771	46.2	"FF951_00145"	
"CP040688"	29135	29905	"+"	"CDS"	"Missing"	356	771	46.2	"FF951_00145"	"helix-turn-helix transcriptional regulator"
"CP040688"	29135	29905	"+"	"exon"	"Missing"	356	771	46.2		
"CP040688"	29889	30746	"+"	"gene"	"Missing"	315	858	36.7	"FF951_00150"	
"CP040688"	29889	30746	"+"	"mRNA"	"Missing"	315	858	36.7	"FF951_00150"	
"CP040688"	29889	30746	"+"	"CDS"	"Missing"	315	858	36.7	"FF951_00150"	"NlpC/P60 family protein"
"CP040688"	29889	30746	"+"	"exon"	"Missing"	315	858	36.7		
"CP040688"	30784	31146	"+"	"gene"	"Missing"	363	363	100	"FF951_00155"	
"CP040688"	30784	31146	"+"	"mRNA"	"Missing"	363	363	100	"FF951_00155"	
"CP040688"	30784	31146	"+"	"CDS"	"Missing"	363	363	100	"FF951_00155"	"DUF4226 domain-containing protein"
"CP040688"	30784	31146	"+"	"exon"	"Missing"	363	363	100		
"CP040688"	31261	32607	"+"	"gene"	"Missing"	235	1347	17.4	"FF951_00160"	
"CP040688"	31261	32607	"+"	"mRNA"	"Missing"	235	1347	17.4	"FF951_00160"	
"CP040688"	31261	32607	"+"	"CDS"	"Missing"	235	1347	17.4	"FF951_00160"	"DUF4226 domain-containing protein"
"CP040688"	31261	32607	"+"	"exon"	"Missing"	235	1347	17.4		
"CP040688"	329292	332099	"-"	"gene"	"Missing"	867	2808	30.9	"FF951_01480"	
"CP040688"	329292	332099	"-"	"mRNA"	"Missing"	867	2808	30.9	"FF951_01480"	
"CP040688"	329292	332099	"-"	"CDS"	"Missing"	867	2808	30.9	"FF951_01480"	"PE family protein"
"CP040688"	329292	332099	"-"	"exon"	"Missing"	867	2808	30.9		
"CP040688"	471725	472093	"+"	"gene"	"Missing"	33	369	8.9	"FF951_02070"	
"CP040688"	471725	472093	"+"	"mRNA"	"Missing"	33	369	8.9	"FF951_02070"	
"CP040688"	471725	472093	"+"	"CDS"	"Missing"	33	369	8.9	"FF951_02070"	"hypothetical protein"
"CP040688"	471725	472093	"+"	"exon"	"Missing"	33	369	8.9		
"CP040688"	618675	620543	"+"	"gene"	"Missing"	753	1869	40.3	"FF951_02815"	
"CP040688"	618675	620543	"+"	"mRNA"	"Missing"	753	1869	40.3	"FF951_02815"	
"CP040688"	618675	620543	"+"	"CDS"	"Missing"	753	1869	40.3	"FF951_02815"	"PE family protein"
"CP040688"	618675	620543	"+"	"exon"	"Missing"	753	1869	40.3		
"CP040688"	667962	671873	"-"	"gene"	"Missing"	279	3912	7.1	"FF951_03060"	
"CP040688"	667962	671873	"-"	"mRNA"	"Missing"	279	3912	7.1	"FF951_03060"	
"CP040688"	667962	671873	"-"	"CDS"	"Missing"	279	3912	7.1	"FF951_03060"	"PE family protein"
"CP040688"	667962	671873	"-"	"exon"	"Missing"	279	3912	7.1		
"CP040688"	832284	834638	"+"	"gene"	"Missing"	621	2355	26.4	"FF951_04015"	
"CP040688"	832284	834638	"+"	"mRNA"	"Missing"	621	2355	26.4	"FF951_04015"	
"CP040688"	832284	834638	"+"	"CDS"	"Missing"	621	2355	26.4	"FF951_04015"	"PE family protein"
"CP040688"	832284	834638	"+"	"exon"	"Missing"	621	2355	26.4		
"CP040688"	835037	837310	"+"	"gene"	"Missing"	149	2274	6.6	"FF951_04025"	
"CP040688"	835037	837310	"+"	"mRNA"	"Missing"	149	2274	6.6	"FF951_04025"	
"CP040688"	835037	837310	"+"	"CDS"	"Missing"	149	2274	6.6	"FF951_04025"	"PE family protein"
"CP040688"	835037	837310	"+"	"exon"	"Missing"	149	2274	6.6		
"CP040688"	920450	922408	"+"	"gene"	"Missing"	1164	1959	59.4	"FF951_04490"	
"CP040688"	920450	922408	"+"	"mRNA"	"Missing"	1164	1959	59.4	"FF951_04490"	
"CP040688"	920450	922408	"+"	"CDS"	"Missing"	1164	1959	59.4	"FF951_04490"	"PE family protein"
"CP040688"	920450	922408	"+"	"exon"	"Missing"	1164	1959	59.4		
"CP040688"	954972	955075	"-"	"pseudogenic_exon"	"Missing"	45	104	43.3	"FF951_04665"	"DUF3000 domain-containing protein"
"CP040688"	954972	955075	"-"	"pseudogene"	"Missing"	45	104	43.3	"FF951_04665"	
"CP040688"	959109	960332	"-"	"gene"	"Missing"	120	1224	9.8	"FF951_04695"	
