"Chromosome"	"Start"	"End"	"Strand"	"Feature"	"Illumina"	"Missing"	"Length"	"Miss %"	"Locus Tag"	"Product"
"CP040690"	103966	104937	"-"	"gene"	"Missing"	859	972	88.4	"FF954_00535"	
"CP040690"	103966	104937	"-"	"mRNA"	"Missing"	859	972	88.4	"FF954_00535"	
"CP040690"	103966	104937	"-"	"CDS"	"Missing"	859	972	88.4	"FF954_00535"	"DUF222 domain-containing protein"
"CP040690"	103966	104937	"-"	"exon"	"Missing"	859	972	88.4		
"CP040690"	105061	105471	"-"	"gene"	"Missing"	249	411	60.6	"FF954_00540"	
"CP040690"	105061	105471	"-"	"mRNA"	"Missing"	249	411	60.6	"FF954_00540"	
"CP040690"	105061	105471	"-"	"CDS"	"Missing"	249	411	60.6	"FF954_00540"	"DUF222 domain-containing protein"
"CP040690"	105061	105471	"-"	"exon"	"Missing"	249	411	60.6		
"CP040690"	131638	133128	"+"	"gene"	"Missing"	183	1491	12.3	"FF954_00615"	
"CP040690"	131638	133128	"+"	"mRNA"	"Missing"	183	1491	12.3	"FF954_00615"	
"CP040690"	131638	133128	"+"	"CDS"	"Missing"	183	1491	12.3	"FF954_00615"	"PE family protein"
"CP040690"	131638	133128	"+"	"exon"	"Missing"	183	1491	12.3		
"CP040690"	149790	151433	"+"	"gene"	"Missing"	400	1644	24.3	"FF954_00695"	
"CP040690"	149790	151433	"+"	"mRNA"	"Missing"	400	1644	24.3	"FF954_00695"	
"CP040690"	149790	151433	"+"	"CDS"	"Missing"	400	1644	24.3	"FF954_00695"	"PE family protein"
"CP040690"	149790	151433	"+"	"exon"	"Missing"	400	1644	24.3		
"CP040690"	154563	154722	"+"	"pseudogenic_exon"	"Missing"	42	160	26.2	"FF954_00710"	"DUF3000 domain-containing protein"
"CP040690"	154563	154722	"+"	"pseudogene"	"Missing"	42	160	26.2	"FF954_00710"	
"CP040690"	333961	336750	"-"	"gene"	"Missing"	393	2790	14.1	"FF954_01510"	
"CP040690"	333961	336750	"-"	"mRNA"	"Missing"	393	2790	14.1	"FF954_01510"	
"CP040690"	333961	336750	"-"	"CDS"	"Missing"	393	2790	14.1	"FF954_01510"	"PE family protein"
"CP040690"	333961	336750	"-"	"exon"	"Missing"	393	2790	14.1		
"CP040690"	337014	339560	"-"	"gene"	"Missing"	567	2547	22.3	"FF954_01515"	
"CP040690"	337014	339560	"-"	"mRNA"	"Missing"	567	2547	22.3	"FF954_01515"	
"CP040690"	337014	339560	"-"	"CDS"	"Missing"	567	2547	22.3	"FF954_01515"	"PE family protein"
"CP040690"	337014	339560	"-"	"exon"	"Missing"	567	2547	22.3		
"CP040690"	580757	581365	"-"	"gene"	"Missing"	272	609	44.7	"FF954_02605"	
"CP040690"	580757	581365	"-"	"mRNA"	"Missing"	272	609	44.7	"FF954_02605"	
"CP040690"	580757	581365	"-"	"CDS"	"Missing"	272	609	44.7	"FF954_02605"	"hypothetical protein"
"CP040690"	580757	581365	"-"	"exon"	"Missing"	272	609	44.7		
"CP040690"	623630	625375	"+"	"gene"	"Missing"	240	1746	13.7	"FF954_02845"	
"CP040690"	623630	625375	"+"	"mRNA"	"Missing"	240	1746	13.7	"FF954_02845"	
"CP040690"	623630	625375	"+"	"CDS"	"Missing"	240	1746	13.7	"FF954_02845"	"PE family protein"
"CP040690"	623630	625375	"+"	"exon"	"Missing"	240	1746	13.7		
"CP040690"	672927	676874	"-"	"gene"	"Missing"	1477	3948	37.4	"FF954_03095"	
"CP040690"	672927	676874	"-"	"mRNA"	"Missing"	1477	3948	37.4	"FF954_03095"	
"CP040690"	672927	676874	"-"	"CDS"	"Missing"	1477	3948	37.4	"FF954_03095"	"PE family protein"
"CP040690"	672927	676874	"-"	"exon"	"Missing"	1477	3948	37.4		
"CP040690"	839125	840144	"+"	"pseudogenic_exon"	"Missing"	315	1020	30.9	"FF954_04060"	"PE family protein"
"CP040690"	839125	840144	"+"	"pseudogene"	"Missing"	315	1020	30.9	"FF954_04060"	
"CP040690"	840543	843332	"+"	"gene"	"Missing"	1425	2790	51.1	"FF954_04070"	
"CP040690"	840543	843332	"+"	"mRNA"	"Missing"	1425	2790	51.1	"FF954_04070"	
"CP040690"	840543	843332	"+"	"CDS"	"Missing"	1425	2790	51.1	"FF954_04070"	"PE family protein"
"CP040690"	840543	843332	"+"	"exon"	"Missing"	1425	2790	51.1		
"CP040690"	926069	928795	"+"	"gene"	"Missing"	1395	2727	51.2	"FF954_04530"	
"CP040690"	926069	928795	"+"	"mRNA"	"Missing"	1395	2727	51.2	"FF954_04530"	
"CP040690"	926069	928795	"+"	"CDS"	"Missing"	1395	2727	51.2	"FF954_04530"	"PE family protein"
"CP040690"	926069	928795	"+"	"exon"	"Missing"	1395	2727	51.2		
"CP040690"	965549	966772	"-"	"gene"	"Missing"	120	1224	9.8	"FF954_04735"	
"CP040690"	965549	966772	"-"	"mRNA"	"Missing"	120	1224	9.8	"FF954_04735"	
"CP040690"	965549	966772	"-"	"CDS"	"Missing"	120	1224	9.8	"FF954_04735"	"resuscitation-promoting factor RpfA"
"CP040690"	965549	966772	"-"	"exon"	"Missing"	120	1224	9.8		
"CP040690"	1091617	1094382	"+"	"gene"	"Missing"	278	2766	10.1	"FF954_05335"	
"CP040690"	1091617	1094382	"+"	"mRNA"	"Missing"	278	2766	10.1	"FF954_05335"	
"CP040690"	1091617	1094382	"+"	"CDS"	"Missing"	278	2766	10.1	"FF954_05335"	"PE family protein"
"CP040690"	1091617	1094382	"+"	"exon"	"Missing"	278	2766	10.1		
"CP040690"	1096328	1097701	"-"	"gene"	"Missing"	401	1374	29.2	"FF954_05365"	
"CP040690"	1096328	1097701	"-"	"mRNA"	"Missing"	401	1374	29.2	"FF954_05365"	
"CP040690"	1096328	1097701	"-"	"CDS"	"Missing"	401	1374	29.2	"FF954_05365"	"PE domain-containing protein"
"CP040690"	1096328	1097701	"-"	"exon"	"Missing"	401	1374	29.2		
"CP040690"	1162104	1162400	"-"	"gene"	"Missing"	129	297	43.4	"FF954_05695"	
"CP040690"	1162104	1162400	"-"	"mRNA"	"Missing"	129	297	43.4	"FF954_05695"	
"CP040690"	1162104	1162400	"-"	"CDS"	"Missing"	129	297	43.4	"FF954_05695"	"WXG100 family type VII secretion target"
"CP040690"	1162104	1162400	"-"	"exon"	"Missing"	129	297	43.4		
"CP040690"	1340031	1340327	"+"	"gene"	"Missing"	152	297	51.2	"FF954_06575"	
"CP040690"	1340031	1340327	"+"	"mRNA"	"Missing"	152	297	51.2	"FF954_06575"	
"CP040690"	1340031	1340327	"+"	"CDS"	"Missing"	152	297	51.2	"FF954_06575"	"ESAT-6-like protein EsxK"
"CP040690"	1340031	1340327	"+"	"exon"	"Missing"	152	297	51.2		
"CP040690"	1340378	1340662	"+"	"gene"	"Missing"	110	285	38.6	"FF954_06580"	
"CP040690"	1340378	1340662	"+"	"mRNA"	"Missing"	110	285	38.6	"FF954_06580"	
"CP040690"	1340378	1340662	"+"	"CDS"	"Missing"	110	285	38.6	"FF954_06580"	"ESAT-6-like protein EsxL"
"CP040690"	1340378	1340662	"+"	"exon"	"Missing"	110	285	38.6		
"CP040690"	1340730	1341977	"-"	"gene"	"Missing"	464	1248	37.2	"FF954_06585"	
"CP040690"	1340730	1341977	"-"	"mRNA"	"Missing"	464	1248	37.2	"FF954_06585"	
"CP040690"	1340730	1341977	"-"	"CDS"	"Missing"	464	1248	37.2	"FF954_06585"	"IS256-like element IS1081 family transposase"
"CP040690"	1340730	1341977	"-"	"exon"	"Missing"	464	1248	37.2		
"CP040690"	1413320	1415200	"-"	"gene"	"Missing"	161	1881	8.6	"FF954_06945"	
"CP040690"	1413320	1415200	"-"	"mRNA"	"Missing"	161	1881	8.6	"FF954_06945"	
"CP040690"	1413320	1415200	"-"	"CDS"	"Missing"	161	1881	8.6	"FF954_06945"	"serine/threonine protein kinase"
"CP040690"	1413320	1415200	"-"	"exon"	"Missing"	161	1881	8.6		
"CP040690"	1417851	1419581	"-"	"gene"	"Missing"	1014	1731	58.6	"FF954_06955"	
"CP040690"	1417851	1419581	"-"	"mRNA"	"Missing"	1014	1731	58.6	"FF954_06955"	
"CP040690"	1417851	1419581	"-"	"CDS"	"Missing"	1014	1731	58.6	"FF954_06955"	"serine/threonine protein kinase"
"CP040690"	1417851	1419581	"-"	"exon"	"Missing"	1014	1731	58.6		
"CP040690"	1491940	1493751	"-"	"gene"	"Missing"	98	1812	5.4	"FF954_07305"	
"CP040690"	1491940	1493751	"-"	"mRNA"	"Missing"	98	1812	5.4	"FF954_07305"	
"CP040690"	1491940	1493751	"-"	"CDS"	"Missing"	98	1812	5.4	"FF954_07305"	"PE family protein"
"CP040690"	1491940	1493751	"-"	"exon"	"Missing"	98	1812	5.4		
"CP040690"	1633114	1637337	"-"	"gene"	"Missing"	1524	4224	36.1	"FF954_07980"	
"CP040690"	1633114	1637337	"-"	"mRNA"	"Missing"	1524	4224	36.1	"FF954_07980"	
"CP040690"	1633114	1637337	"-"	"CDS"	"Missing"	1524	4224	36.1	"FF954_07980"	"PE family protein"
"CP040690"	1633114	1637337	"-"	"exon"	"Missing"	1524	4224	36.1		
"CP040690"	1638714	1641078	"-"	"pseudogenic_exon"	"Missing"	288	2365	12.2	"FF954_07990"	"PE family protein"
"CP040690"	1638714	1641078	"-"	"pseudogene"	"Missing"	288	2365	12.2	"FF954_07990"	
"CP040690"	1949139	1949387	"-"	"gene"	"Missing"	15	249	6	"FF954_09380"	
"CP040690"	1949139	1949387	"-"	"mRNA"	"Missing"	15	249	6	"FF954_09380"	
"CP040690"	1949139	1949387	"-"	"CDS"	"Missing"	15	249	6	"FF954_09380"	"cell wall anchor protein"
"CP040690"	1949139	1949387	"-"	"exon"	"Missing"	15	249	6		
"CP040690"	1975388	1978999	"-"	"gene"	"Missing"	757	3612	21	"FF954_09510"	
"CP040690"	1975388	1978999	"-"	"mRNA"	"Missing"	757	3612	21	"FF954_09510"	
"CP040690"	1975388	1978999	"-"	"CDS"	"Missing"	757	3612	21	"FF954_09510"	"PPE domain-containing protein"
"CP040690"	1975388	1978999	"-"	"exon"	"Missing"	757	3612	21		
"CP040690"	1989507	1992250	"-"	"pseudogenic_exon"	"Missing"	1094	2744	39.9	"FF954_09545"	"PE family protein"
"CP040690"	1989507	1992250	"-"	"pseudogene"	"Missing"	1094	2744	39.9	"FF954_09545"	
"CP040690"	1996533	1997789	"-"	"gene"	"Missing"	1257	1257	100	"FF954_09570"	
"CP040690"	1996533	1997789	"-"	"mRNA"	"Missing"	1257	1257	100	"FF954_09570"	
"CP040690"	1996533	1997789	"-"	"CDS"	"Missing"	1257	1257	100	"FF954_09570"	"HNH endonuclease"
"CP040690"	1996533	1997789	"-"	"exon"	"Missing"	1257	1257	100		
"CP040690"	2162138	2167375	"-"	"gene"	"Missing"	498	5238	9.5	"FF954_10390"	
"CP040690"	2162138	2167375	"-"	"mRNA"	"Missing"	498	5238	9.5	"FF954_10390"	
"CP040690"	2162138	2167375	"-"	"CDS"	"Missing"	498	5238	9.5	"FF954_10390"	"PPE family protein"
"CP040690"	2162138	2167375	"-"	"exon"	"Missing"	498	5238	9.5		
