"Chromosome"	"Start"	"End"	"Strand"	"Feature"	"Illumina"	"Missing"	"Length"	"Miss %"	"Locus Tag"	"Product"
"CP040693"	1846	2134	"+"	"exon"	"Missing"	60	289	20.8		
"CP040693"	331907	334714	"-"	"gene"	"Missing"	462	2808	16.5	"FF953_01495"	
"CP040693"	331907	334714	"-"	"mRNA"	"Missing"	462	2808	16.5	"FF953_01495"	
"CP040693"	331907	334714	"-"	"CDS"	"Missing"	462	2808	16.5	"FF953_01495"	"PE family protein"
"CP040693"	331907	334714	"-"	"exon"	"Missing"	462	2808	16.5		
"CP040693"	621295	623163	"+"	"gene"	"Missing"	131	1869	7	"FF953_02830"	
"CP040693"	621295	623163	"+"	"mRNA"	"Missing"	131	1869	7	"FF953_02830"	
"CP040693"	621295	623163	"+"	"CDS"	"Missing"	131	1869	7	"FF953_02830"	"PE family protein"
"CP040693"	621295	623163	"+"	"exon"	"Missing"	131	1869	7		
"CP040693"	670582	674496	"-"	"gene"	"Missing"	494	3915	12.6	"FF953_03075"	
"CP040693"	670582	674496	"-"	"mRNA"	"Missing"	494	3915	12.6	"FF953_03075"	
"CP040693"	670582	674496	"-"	"CDS"	"Missing"	494	3915	12.6	"FF953_03075"	"PE family protein"
"CP040693"	670582	674496	"-"	"exon"	"Missing"	494	3915	12.6		
"CP040693"	833639	835546	"+"	"gene"	"Missing"	216	1908	11.3	"FF953_04025"	
"CP040693"	833639	835546	"+"	"mRNA"	"Missing"	216	1908	11.3	"FF953_04025"	
"CP040693"	833639	835546	"+"	"CDS"	"Missing"	216	1908	11.3	"FF953_04025"	"PE family protein"
"CP040693"	833639	835546	"+"	"exon"	"Missing"	216	1908	11.3		
"CP040693"	835945	838218	"+"	"gene"	"Missing"	123	2274	5.4	"FF953_04035"	
"CP040693"	835945	838218	"+"	"mRNA"	"Missing"	123	2274	5.4	"FF953_04035"	
"CP040693"	835945	838218	"+"	"CDS"	"Missing"	123	2274	5.4	"FF953_04035"	"PE family protein"
"CP040693"	835945	838218	"+"	"exon"	"Missing"	123	2274	5.4		
"CP040693"	849856	850144	"-"	"exon"	"Missing"	61	289	21.1		
"CP040693"	887766	888054	"+"	"exon"	"Missing"	59	289	20.4		
"CP040693"	923669	924082	"+"	"gene"	"Missing"	66	414	15.9	"FF953_04505"	
"CP040693"	923669	924082	"+"	"mRNA"	"Missing"	66	414	15.9	"FF953_04505"	
"CP040693"	923669	924082	"+"	"CDS"	"Missing"	66	414	15.9	"FF953_04505"	"PE family protein"
"CP040693"	923669	924082	"+"	"exon"	"Missing"	66	414	15.9		
"CP040693"	924079	926037	"+"	"gene"	"Missing"	1381	1959	70.5	"FF953_04510"	
"CP040693"	924079	926037	"+"	"mRNA"	"Missing"	1381	1959	70.5	"FF953_04510"	
"CP040693"	924079	926037	"+"	"CDS"	"Missing"	1381	1959	70.5	"FF953_04510"	"PE family protein"
"CP040693"	924079	926037	"+"	"exon"	"Missing"	1381	1959	70.5		
"CP040693"	962686	963909	"-"	"gene"	"Missing"	120	1224	9.8	"FF953_04715"	
"CP040693"	962686	963909	"-"	"mRNA"	"Missing"	120	1224	9.8	"FF953_04715"	
"CP040693"	962686	963909	"-"	"CDS"	"Missing"	120	1224	9.8	"FF953_04715"	"resuscitation-promoting factor RpfA"
"CP040693"	962686	963909	"-"	"exon"	"Missing"	120	1224	9.8		
"CP040693"	966798	968626	"-"	"pseudogenic_exon"	"Missing"	92	1829	5	"FF953_04740"	"PE family protein"
"CP040693"	966798	968626	"-"	"pseudogene"	"Missing"	92	1829	5	"FF953_04740"	
"CP040693"	1074177	1074465	"-"	"exon"	"Missing"	60	289	20.8		
"CP040693"	1094854	1096227	"-"	"gene"	"Missing"	217	1374	15.8	"FF953_05345"	
"CP040693"	1094854	1096227	"-"	"mRNA"	"Missing"	217	1374	15.8	"FF953_05345"	
"CP040693"	1094854	1096227	"-"	"CDS"	"Missing"	217	1374	15.8	"FF953_05345"	"PE domain-containing protein"
"CP040693"	1094854	1096227	"-"	"exon"	"Missing"	217	1374	15.8		
"CP040693"	1263916	1264204	"-"	"exon"	"Missing"	62	289	21.5		
"CP040693"	1340645	1341820	"+"	"gene"	"Missing"	237	1176	20.2	"FF953_06565"	
"CP040693"	1340645	1341820	"+"	"mRNA"	"Missing"	237	1176	20.2	"FF953_06565"	
"CP040693"	1340645	1341820	"+"	"CDS"	"Missing"	237	1176	20.2	"FF953_06565"	"PPE family protein"
"CP040693"	1340645	1341820	"+"	"exon"	"Missing"	237	1176	20.2		
"CP040693"	1341955	1342251	"+"	"gene"	"Missing"	287	297	96.6	"FF953_06570"	
"CP040693"	1341955	1342251	"+"	"mRNA"	"Missing"	287	297	96.6	"FF953_06570"	
"CP040693"	1341955	1342251	"+"	"CDS"	"Missing"	287	297	96.6	"FF953_06570"	"ESAT-6-like protein EsxK"
"CP040693"	1341955	1342251	"+"	"exon"	"Missing"	287	297	96.6		
"CP040693"	1342302	1342586	"+"	"gene"	"Missing"	110	285	38.6	"FF953_06575"	
"CP040693"	1342302	1342586	"+"	"mRNA"	"Missing"	110	285	38.6	"FF953_06575"	
"CP040693"	1342302	1342586	"+"	"CDS"	"Missing"	110	285	38.6	"FF953_06575"	"ESAT-6-like protein EsxL"
"CP040693"	1342302	1342586	"+"	"exon"	"Missing"	110	285	38.6		
"CP040693"	1342654	1343901	"-"	"gene"	"Missing"	464	1248	37.2	"FF953_06580"	
"CP040693"	1342654	1343901	"-"	"mRNA"	"Missing"	464	1248	37.2	"FF953_06580"	
"CP040693"	1342654	1343901	"-"	"CDS"	"Missing"	464	1248	37.2	"FF953_06580"	"IS256-like element IS1081 family transposase"
"CP040693"	1342654	1343901	"-"	"exon"	"Missing"	464	1248	37.2		
"CP040693"	1386288	1387871	"-"	"gene"	"Missing"	180	1584	11.4	"FF953_06815"	
"CP040693"	1386288	1387871	"-"	"mRNA"	"Missing"	180	1584	11.4	"FF953_06815"	
"CP040693"	1386288	1387871	"-"	"CDS"	"Missing"	180	1584	11.4	"FF953_06815"	"PE family protein"
"CP040693"	1386288	1387871	"-"	"exon"	"Missing"	180	1584	11.4		
"CP040693"	1442550	1443920	"+"	"gene"	"Missing"	153	1371	11.2	"FF953_07060"	
"CP040693"	1442550	1443920	"+"	"mRNA"	"Missing"	153	1371	11.2	"FF953_07060"	
"CP040693"	1442550	1443920	"+"	"CDS"	"Missing"	153	1371	11.2	"FF953_07060"	"LysM peptidoglycan-binding domain-containing protein"
"CP040693"	1442550	1443920	"+"	"exon"	"Missing"	153	1371	11.2		
"CP040693"	1490972	1492747	"-"	"gene"	"Missing"	159	1776	9	"FF953_07290"	
"CP040693"	1490972	1492747	"-"	"mRNA"	"Missing"	159	1776	9	"FF953_07290"	
"CP040693"	1490972	1492747	"-"	"CDS"	"Missing"	159	1776	9	"FF953_07290"	"PE family protein"
"CP040693"	1490972	1492747	"-"	"exon"	"Missing"	159	1776	9		
"CP040693"	1546412	1546700	"-"	"exon"	"Missing"	62	289	21.5		
"CP040693"	1574909	1576639	"-"	"gene"	"Missing"	153	1731	8.8	"FF953_07675"	
"CP040693"	1574909	1576639	"-"	"mRNA"	"Missing"	153	1731	8.8	"FF953_07675"	
"CP040693"	1574909	1576639	"-"	"CDS"	"Missing"	153	1731	8.8	"FF953_07675"	"PE family protein"
"CP040693"	1574909	1576639	"-"	"exon"	"Missing"	153	1731	8.8		
"CP040693"	1633426	1637622	"-"	"gene"	"Missing"	563	4197	13.4	"FF953_07975"	
"CP040693"	1633426	1637622	"-"	"mRNA"	"Missing"	563	4197	13.4	"FF953_07975"	
"CP040693"	1633426	1637622	"-"	"CDS"	"Missing"	563	4197	13.4	"FF953_07975"	"PE family protein"
"CP040693"	1633426	1637622	"-"	"exon"	"Missing"	563	4197	13.4		
"CP040693"	1647416	1647673	"+"	"gene"	"Missing"	53	258	20.5	"FF953_08020"	
"CP040693"	1647416	1647673	"+"	"mRNA"	"Missing"	53	258	20.5	"FF953_08020"	
"CP040693"	1647416	1647673	"+"	"CDS"	"Missing"	53	258	20.5	"FF953_08020"	"hypothetical protein"
"CP040693"	1647416	1647673	"+"	"exon"	"Missing"	53	258	20.5		
"CP040693"	1661259	1661547	"-"	"exon"	"Missing"	61	289	21.1		
"CP040693"	1721194	1721482	"-"	"exon"	"Missing"	60	289	20.8		
"CP040693"	1785864	1786532	"-"	"gene"	"Missing"	54	669	8.1	"FF953_08655"	
"CP040693"	1785864	1786532	"-"	"mRNA"	"Missing"	54	669	8.1	"FF953_08655"	
"CP040693"	1785864	1786532	"-"	"CDS"	"Missing"	54	669	8.1	"FF953_08655"	"DUF222 domain-containing protein"
"CP040693"	1785864	1786532	"-"	"exon"	"Missing"	54	669	8.1		
"CP040693"	1949777	1950025	"-"	"gene"	"Missing"	114	249	45.8	"FF953_09390"	
"CP040693"	1949777	1950025	"-"	"mRNA"	"Missing"	114	249	45.8	"FF953_09390"	
"CP040693"	1949777	1950025	"-"	"CDS"	"Missing"	114	249	45.8	"FF953_09390"	"cell wall anchor protein"
"CP040693"	1949777	1950025	"-"	"exon"	"Missing"	114	249	45.8		
"CP040693"	1975947	1979567	"-"	"gene"	"Missing"	792	3621	21.9	"FF953_09520"	
"CP040693"	1975947	1979567	"-"	"mRNA"	"Missing"	792	3621	21.9	"FF953_09520"	
"CP040693"	1975947	1979567	"-"	"CDS"	"Missing"	792	3621	21.9	"FF953_09520"	"PPE domain-containing protein"
"CP040693"	1975947	1979567	"-"	"exon"	"Missing"	792	3621	21.9		
"CP040693"	1982446	1982734	"-"	"exon"	"Missing"	60	289	20.8		
"CP040693"	2014509	2014805	"+"	"pseudogenic_exon"	"Missing"	103	297	34.7	"FF953_09680"	"WXG100 family type VII secretion target"
"CP040693"	2014509	2014805	"+"	"pseudogene"	"Missing"	103	297	34.7	"FF953_09680"	
"CP040693"	2014856	2015140	"+"	"gene"	"Missing"	57	285	20	"FF953_09685"	
"CP040693"	2014856	2015140	"+"	"mRNA"	"Missing"	57	285	20	"FF953_09685"	
